Server time in hour,Difference with previous Zigzag length in pips,Zigzag completion time in mins,ZigZag length in pips,Zigza length round to nearest 10 pips,Next Zigzag length in pips,Previous Zigzag length in pips,If greater than 10 pips
7,0,85,17.6,20,40.8,0,1
9,23,170,40.8,40,24.5,17.6,1
12,16,70,24.5,20,24.9,40.8,1
13,0,40,24.9,20,16.8,24.5,1
13,8,105,16.8,20,26.6,24.9,1
15,10,10,26.6,30,73,16.8,1
15,46,395,73,70,34.2,26.6,1
22,38,4430,34.2,30,15.3,73,1
0,19,165,15.3,20,14.1,34.2,1
2,1,15,14.1,10,12.2,15.3,1
3,2,105,12.2,10,6.6,14.1,1
4,6,65,6.6,10,10,12.2,0
6,4,60,10,10,5.2,6.6,0
7,5,45,5.2,10,44.5,10,0
7,39,280,44.5,40,10.9,5.2,1
12,34,55,10.9,10,39.3,44.5,1
13,29,165,39.3,40,37.4,10.9,1
16,2,225,37.4,40,13.9,39.3,1
19,24,29.99999999,13.9,10,26,37.4,1
20,12,135,26,30,5.5,13.9,1
22,20,80.00000001,5.5,10,9.4,26,0
23,4,4.999999995,9.4,10,9.1,5.5,0
0,0,70,9.1,10,28.2,9.4,0
1,19,115,28.2,30,14.6,9.1,1
3,14,55,14.6,10,31.1,28.2,1
4,17,105,31.1,30,9.3,14.6,1
5,22,115,9.3,10,57.8,31.1,0
7,48,235,57.8,60,30,9.3,1
11,27,185,30,30,21.9,57.8,1
14,9,45,21.9,20,15.4,30,1
15,6,65,15.4,20,16.9,21.9,1
16,1,35,16.9,20,43.5,15.4,1
17,27,185,43.5,40,17.7,16.9,1
20,26,60,17.7,20,8.9,43.5,1
21,9,55,8.9,10,20.1,17.7,0
22,12,105,20.1,20,9.5,8.9,1
23,11,140,9.5,10,23.3,20.1,0
2,14,99.99999999,23.3,20,17.6,9.5,1
3,6,180,17.6,20,7.8,23.3,1
6,10,50.00000001,7.8,10,38.5,17.6,0
7,31,150,38.5,40,21.1,7.8,1
10,17,40,21.1,20,23.3,38.5,1
10,2,29.99999999,23.3,20,14.1,21.1,1
11,9,50.00000001,14.1,10,13.2,23.3,1
12,1,65,13.2,10,67.3,14.1,1
13,54,215,67.3,70,22.1,13.2,1
16,45,55,22.1,20,27.2,67.3,1
17,5,15,27.2,30,35.2,22.1,1
18,8,180,35.2,40,19.7,27.2,1
21,16,175,19.7,20,0.2,35.2,1
23,19,29.99999999,0.2,0,6.5,19.7,0
0,6,5.000000006,6.5,10,6.6,0.2,0
0,0,19.99999999,6.6,10,21.1,6.5,0
0,15,210,21.1,20,17.4,6.6,1
4,4,85,17.4,20,9.9,21.1,1
5,8,45,9.9,10,4.4,17.4,0
6,5,29.99999999,4.4,0,19.4,9.9,0
7,15,150,19.4,20,39.5,4.4,1
9,20,125,39.5,40,35.2,19.4,1
11,4,115,35.2,40,21.4,39.5,1
13,14,105,21.4,20,22.7,35.2,1
15,1,15.00000001,22.7,20,20.9,21.4,1
15,2,74.99999999,20.9,20,40.3,22.7,1
16,20,130,40.3,40,10.7,20.9,1
18,30,50,10.7,10,13.6,40.3,1
19,3,25.00000001,13.6,10,12.6,10.7,1
20,1,74.99999999,12.6,10,7.7,13.6,1
21,5,35,7.7,10,9.2,12.6,0
22,2,65,9.2,10,10.1,7.7,0
23,1,50.00000001,10.1,10,43,9.2,1
23,32,4460,43,40,15.1,10.1,1
2,27,50,15.1,20,13,43,1
3,3,115,13,10,21.2,15.1,1
5,9,220,21.2,20,7.1,13,1
8,14,25,7.1,10,30.5,21.2,0
9,23,65,30.5,30,24.7,7.1,1
10,6,110,24.7,20,13.1,30.5,1
12,11,100,13.1,10,54.9,24.7,1
13,41,235,54.9,50,17.2,13.1,1
17,37,29.99999999,17.2,20,15.1,54.9,1
18,2,50.00000001,15.1,20,11.8,17.2,1
18,4,140,11.8,10,10.8,15.1,1
21,1,100,10.8,10,21.5,11.8,1
22,11,1535,21.5,20,6.2,10.8,1
0,15,25,6.2,10,5.6,21.5,0
0,1,45,5.6,10,4.3,6.2,0
1,1,20,4.3,0,13.4,5.6,0
2,9,64.99999999,13.4,10,12,4.3,1
3,2,35.00000001,12,10,8.7,13.4,1
3,3,35,8.7,10,17.9,12,0
4,9,115,17.9,20,11,8.7,1
6,7,45,11,10,7,17.9,1
6,4,105,7,10,34.8,11,0
8,28,175,34.8,30,10.6,7,1
11,24,25,10.6,10,15.4,34.8,1
12,5,35,15.4,20,18.4,10.6,1
12,3,80,18.4,20,39.7,15.4,1
13,21,105,39.7,40,88,18.4,1
15,48,185,88,90,28.6,39.7,1
18,59,85,28.6,30,11.6,88,1
20,17,64.99999999,11.6,10,10.3,28.6,1
21,1,25.00000001,10.3,10,24.9,11.6,1
21,14,95,24.9,20,8.9,10.3,1
23,16,40,8.9,10,7.1,24.9,0
23,1,60,7.1,10,32.5,8.9,0
0,25,125,32.5,30,12.8,7.1,1
